lane,d_model,total_layers,parameters,train_tokens,count,mean_loss,loss_stdev,mean_train_tokens_per_second,nominal_flops,runtime_adjusted_flops
attention-only,128,8,9778176,1638400,1,6.7033761739730835,0.0,181484.32117687157,96123381350400.0,96123381350400.0
parcae-bx-looped-attention,128,8,9811584,1638400,1,6.780262321233749,0.0,173863.1697111187,96451795353600.0,100679681816011.45
parcae-p20-control-looped-attention,128,8,9873728,1638400,1,6.711284637451172,0.0,158591.25709437195,97062695731200.0,111073950538722.3
attention-only,128,8,9778176,33554432,1,5.219889312982559,0.0,180897.22191290694,1968606850056192.0,1968606850056192.0
parcae-bx-looped-attention,128,8,9811584,33554432,1,5.261453397572041,0.0,171663.4312085753,1975332768841728.0,2081586088086702.5
parcae-p20-control-looped-attention,128,8,9873728,33554432,1,5.157606430351734,0.0,164885.53943744313,1987844008574976.0,2180879293443794.5
attention-only,128,8,9778176,134217728,2,4.663990739732981,0.0018816407834128,179736.46723718126,7874427400224768.0,7874427400224768.0
parcae-bx-looped-attention,128,8,9811584,134217728,2,4.673566464334726,0.0066495135579198155,171009.18770373502,7901331075366912.0,8304714094238158.0
parcae-p20-control-looped-attention,128,8,9873728,134217728,2,4.613063223659992,0.0019502611211445996,165312.69013726898,7951376034299904.0,8645210974935338.0
attention-only,128,8,9778176,249020416,1,4.490519016981125,0.0,181593.86549598482,1.4609792731447296e+16,1.4609792731447296e+16
parcae-bx-looped-attention,128,8,9811584,249020416,1,4.489436827600002,0.0,173256.67295699427,1.4659708375793664e+16,1.5365140433379012e+16
parcae-p20-control-looped-attention,128,8,9873728,249020416,1,4.434590771794319,0.0,167828.4328842471,1.4752559124185088e+16,1.5962576729573262e+16
